TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,3291,18583,1405,6209,0.7008091991693336,0.3464210525951136
0.35328298736360164,1785,19285,703,7715,0.7174437296151753,0.18789473682232685
0.5307237540651162,881,19719,269,8619,0.7660869558555765,0.09273684209550138
0.6594798177629646,544,19875,113,8956,0.8280060870197776,0.057263157888709136
0.7529088772014396,348,19930,58,9152,0.8571428550316679,0.03663157894351247
0.8207036582537898,263,19959,29,9237,0.9006849284223118,0.02768421052340166
0.8698974783089168,209,19971,17,9291,0.9247787569700056,0.02199999999768421
0.9055939123714077,165,19977,11,9335,0.9374999946732955,0.017368421050803322
0.9314962595229367,138,19980,8,9362,0.9452054729780447,0.014526315787944598
0.9502917388356261,116,19985,3,9384,0.9747899077748747,0.012210526314504155
0.963930272846737,94,19986,2,9406,0.9791666564670141,0.009894736841063711
0.9738267807717386,81,19987,1,9419,0.9878048660023797,0.008526315788576176
0.9810079682094667,69,19988,0,9431,0.9999999855072467,0.007263157893972299
0.9862188419243761,51,19988,0,9449,0.9999999803921573,0.005368421052066482
0.99,44,19988,0,9456,0.9999999772727278,0.004631578946880886
