TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,3043,16489,3499,6457,0.46514827262837843,0.32031578943996675
0.35328298736360164,548,19470,518,8952,0.5140712940768561,0.057684210520243764
0.5307237540651162,155,19900,88,9345,0.6378600796795881,0.016315789471966758
0.6594798177629646,91,19955,33,9409,0.7338709618236213,0.009578947367412742
0.7529088772014396,63,19977,11,9437,0.8513513398466035,0.00663157894667036
0.8207036582537898,53,19983,5,9447,0.9137930876932226,0.005578947367833795
0.8698974783089168,40,19985,3,9460,0.9302325365062202,0.00421052631534626
0.9055939123714077,31,19986,2,9469,0.9393939109274573,0.0032631578943933515
0.9314962595229367,27,19987,1,9473,0.96428567984694,0.002842105262858726
0.9502917388356261,25,19987,1,9475,0.9615384245562144,0.0026315789470914125
0.963930272846737,20,19987,1,9480,0.9523809070294805,0.00210526315767313
0.9738267807717386,18,19988,0,9482,0.9999999444444475,0.0018947368419058171
0.9810079682094667,16,19988,0,9484,0.9999999375000038,0.001684210526138504
0.9862188419243761,12,19988,0,9488,0.9999999166666736,0.0012631578946038782
0.99,9,19988,0,9491,0.9999998888889013,0.0009473684209529086
