TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,7326,14998,4990,2174,0.5948359856613481,0.7711578946556675
0.35328298736360164,7155,15120,4868,2345,0.59510937365091,0.7531578946575623
0.5307237540651162,5410,17030,2958,4090,0.6465105161751302,0.5694736841505817
0.6594798177629646,3659,18422,1566,5841,0.7002870812056866,0.38515789469629913
0.7529088772014396,2387,19212,776,7113,0.7546632941022248,0.25126315786828807
0.8207036582537898,1445,19646,342,8055,0.8086177947349648,0.15210526314188366
0.8698974783089168,782,19858,130,8718,0.8574561394106841,0.08231578946501938
0.9055939123714077,397,19945,43,9103,0.9022727252221074,0.04178947367981163
0.9314962595229367,196,19982,6,9304,0.9702970248995197,0.020631578945196676
0.9502917388356261,94,19987,1,9406,0.9894736737950139,0.009894736841063711
0.963930272846737,44,19988,0,9456,0.9999999772727278,0.004631578946880886
0.9738267807717386,23,19988,0,9477,0.999999956521741,0.0024210526313240997
0.9810079682094667,13,19988,0,9487,0.9999999230769291,0.0013684210524875346
0.9862188419243761,8,19988,0,9492,0.9999998750000157,0.000842105263069252
0.99,5,19988,0,9495,0.99999980000004,0.0005263157894182826
