TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,4337,19887,101,5163,0.9772420006811081,0.4565263157414183
0.35328298736360164,2603,19944,44,6897,0.9833774080153467,0.27399999997115787
0.5307237540651162,1675,19964,24,7825,0.9858740429747651,0.17631578945512466
0.6594798177629646,1178,19974,14,8322,0.9882550327279739,0.12399999998694737
0.7529088772014396,869,19979,9,8631,0.9897494293966408,0.0914736842008975
0.8207036582537898,639,19980,8,8861,0.9876352380407493,0.06726315788765651
0.8698974783089168,498,19980,8,9002,0.9841897213751192,0.05242105262606094
0.9055939123714077,395,19982,6,9105,0.9850374040273382,0.04157894736404432
0.9314962595229367,313,19983,5,9187,0.9842767264645386,0.032947368417584486
0.9502917388356261,263,19984,4,9237,0.9850187229025517,0.02768421052340166
0.963930272846737,220,19984,4,9280,0.9821428527582908,0.02315789473440443
0.9738267807717386,184,19985,3,9316,0.9839572139895336,0.019368421050592798
0.9810079682094667,152,19985,3,9348,0.9806451549635796,0.01599999999831579
0.9862188419243761,133,19986,2,9367,0.9851851778875172,0.013999999998526315
0.99,118,19986,2,9382,0.9833333251388889,0.012421052630271467
